CallEnd,CallDuration,CallStart,Communication,Education,Job,LastContactMonth,Marital,Outcome,Age,Balance,CarInsurance,CarLoan,DaysPassed,Default,HHInsurance,LastContactDay,NoOfContacts,PrevAttempts
13:25:35,0:04:25,13:21:10,cellular,secondary,blue-collar,aug,single,success,27,535,1,0,95,0,0,16,3,4
14:21:09,0:04:06,14:17:03,cellular,secondary,blue-collar,apr,married,none,44,797,0,0,-1,0,1,17,2,0
13:11:37,0:16:38,12:54:59,cellular,secondary,management,aug,married,none,61,985,1,0,-1,0,0,18,6,0
9:46:01,0:11:56,9:34:05,cellular,tertiary,management,aug,divorced,none,46,1297,1,0,-1,0,0,11,3,0
12:48:50,0:06:22,12:42:28,other,secondary,blue-collar,jun,single,none,26,-46,1,0,-1,0,1,20,7,0
14:10:37,0:04:42,14:05:55,cellular,secondary,management,jun,married,success,53,2240,1,0,385,0,1,2,2,1
13:56:22,0:04:13,13:52:09,cellular,secondary,student,jul,single,none,20,829,1,0,-1,0,0,9,2,0
12:42:14,0:17:16,12:24:58,cellular,secondary,technician,apr,single,none,29,110,1,0,-1,0,1,13,1,0
15:22:42,0:04:48,15:17:54,cellular,secondary,admin.,may,married,none,38,47,1,0,-1,0,1,4,5,0
12:51:19,0:10:32,12:40:47,cellular,secondary,blue-collar,jul,single,none,35,885,1,0,-1,0,1,15,6,0
13:54:00,0:17:03,13:36:57,other,secondary,services,jun,divorced,none,46,0,1,0,-1,0,0,20,3,0
16:30:11,0:03:28,16:26:43,other,secondary,blue-collar,may,married,none,32,536,0,0,-1,0,1,9,2,0
16:35:32,0:03:47,16:31:45,cellular,secondary,technician,jul,married,none,52,137,1,0,-1,0,0,6,2,0
12:10:21,0:08:06,12:02:15,cellular,tertiary,technician,jul,single,none,26,170,0,0,-1,0,1,10,1,0
17:06:35,0:02:42,17:03:53,other,secondary,services,may,divorced,none,33,-297,0,0,-1,0,1,26,2,0
15:37:10,0:05:52,15:31:18,cellular,secondary,technician,jul,single,none,30,53,0,0,-1,0,1,18,5,0
16:46:37,0:02:49,16:43:48,cellular,secondary,technician,oct,single,other,48,1245,0,0,134,0,0,13,1,1
16:41:18,0:03:33,16:37:45,cellular,secondary,technician,oct,married,none,36,480,1,0,-1,0,0,20,1,0
14:13:22,0:05:33,14:07:49,cellular,tertiary,management,apr,single,none,35,1750,1,0,-1,0,1,21,3,0
15:25:49,0:02:33,15:23:16,cellular,secondary,services,jul,married,none,35,5,0,0,-1,0,0,30,2,0
17:23:18,0:05:47,17:17:31,cellular,secondary,technician,may,married,none,31,4182,1,0,-1,0,1,4,2,0
11:18:46,0:01:57,11:16:49,cellular,secondary,blue-collar,jul,divorced,none,39,241,0,0,-1,0,1,18,2,0
14:07:22,0:02:50,14:04:32,cellular,secondary,self-employed,may,married,none,33,49,0,0,-1,0,1,14,7,0
15:28:25,0:01:56,15:26:29,cellular,tertiary,retired,aug,married,none,57,0,0,0,-1,0,0,12,4,0
14:17:21,0:00:51,14:16:30,cellular,secondary,technician,nov,single,none,30,458,0,0,-1,0,0,20,7,0
16:39:27,0:03:34,16:35:53,other,secondary,blue-collar,may,single,none,40,1101,0,0,-1,0,1,16,1,0
13:58:47,0:01:52,13:56:55,other,tertiary,blue-collar,jun,married,none,36,9,0,0,-1,0,1,18,3,0
12:23:36,0:06:45,12:16:51,other,primary,blue-collar,may,single,none,36,49,0,0,-1,0,1,8,1,0
15:59:30,0:05:52,15:53:38,cellular,secondary,management,jun,married,failure,32,625,0,0,56,0,1,2,1,2
12:50:23,0:13:22,12:37:01,telephone,secondary,admin.,jul,married,none,37,1110,1,0,-1,0,1,22,11,0
11:27:20,0:04:43,11:22:37,other,secondary,blue-collar,may,married,none,44,138,0,0,-1,0,1,8,3,0
14:17:39,0:02:11,14:15:28,cellular,secondary,student,jan,single,none,27,3,0,0,-1,0,0,28,1,0
10:56:13,0:01:45,10:54:28,cellular,primary,blue-collar,apr,married,none,50,180,0,0,-1,0,1,16,2,0
13:28:20,0:03:33,13:24:47,cellular,tertiary,management,may,single,none,34,5086,1,0,-1,0,0,25,4,0
17:36:08,0:03:47,17:32:21,other,primary,management,may,married,none,57,1052,0,0,-1,0,1,13,4,0
10:00:52,0:01:06,9:59:46,cellular,primary,services,jul,married,none,40,0,0,0,-1,0,0,31,34,0
9:51:05,0:03:53,9:47:12,cellular,secondary,blue-collar,may,single,none,32,322,0,0,-1,0,1,13,3,0
14:19:43,0:02:04,14:17:39,cellular,secondary,technician,feb,single,other,33,647,0,1,273,0,1,4,1,1
17:27:06,0:20:26,17:06:40,cellular,secondary,blue-collar,feb,divorced,none,49,10613,1,1,-1,0,0,4,1,0
12:25:43,0:02:31,12:23:12,cellular,secondary,technician,jul,divorced,none,54,136,0,1,-1,0,0,10,4,0
9:30:17,0:01:31,9:28:46,cellular,tertiary,technician,may,single,none,34,612,0,0,-1,0,0,25,1,0
15:01:17,0:04:17,14:57:00,cellular,secondary,unemployed,apr,single,none,28,434,0,0,-1,0,1,30,1,0
17:47:55,0:06:51,17:41:04,cellular,secondary,services,nov,single,none,32,1168,1,0,-1,0,1,16,1,0
11:45:41,0:03:52,11:41:49,cellular,secondary,admin.,feb,divorced,failure,41,4,0,0,211,0,1,5,1,1
13:29:58,0:12:22,13:17:36,cellular,secondary,student,feb,single,failure,23,480,1,0,182,0,0,9,2,1
13:14:13,0:06:32,13:07:41,cellular,secondary,retired,apr,married,success,64,4787,1,0,182,0,0,28,1,1
17:56:08,0:00:22,17:55:46,other,secondary,blue-collar,jun,married,none,38,2685,0,0,-1,0,0,20,12,0
14:16:41,0:03:46,14:12:55,cellular,secondary,admin.,jan,single,none,26,187,0,0,-1,0,0,30,2,0
14:44:16,0:02:21,14:41:55,cellular,tertiary,technician,aug,married,none,38,216,0,0,-1,0,0,19,4,0
13:50:20,0:03:21,13:46:59,cellular,secondary,services,aug,married,none,53,-363,0,0,-1,0,1,7,2,0
11:28:39,0:02:03,11:26:36,cellular,secondary,technician,feb,divorced,none,40,93,0,0,-1,0,0,2,2,0
10:07:04,0:01:12,10:05:52,cellular,secondary,services,apr,married,none,39,3870,0,0,-1,0,1,20,1,0
16:28:58,0:11:49,16:17:09,cellular,secondary,retired,nov,married,none,62,298,1,0,-1,0,0,17,2,0
15:24:36,0:03:25,15:21:11,cellular,secondary,technician,aug,married,none,35,249,0,0,-1,0,0,21,8,0
14:33:36,0:07:20,14:26:16,cellular,tertiary,technician,may,single,none,32,0,1,1,-1,0,1,13,2,0
12:33:51,0:04:15,12:29:36,other,secondary,admin.,may,married,none,57,1216,0,0,-1,0,1,8,6,0
15:56:01,0:05:26,15:50:35,cellular,tertiary,housemaid,may,married,failure,35,1265,1,0,179,0,1,15,5,4
12:53:06,0:03:21,12:49:45,other,secondary,blue-collar,jun,single,none,45,143,0,0,-1,0,0,5,1,0
14:35:08,0:11:26,14:23:42,cellular,primary,services,nov,single,none,30,0,1,1,-1,0,1,19,1,0
16:53:25,0:02:29,16:50:56,cellular,secondary,services,dec,married,none,36,4721,1,0,-1,0,0,9,3,0
17:22:16,0:07:00,17:15:16,cellular,secondary,blue-collar,may,single,none,30,5909,1,0,-1,0,1,18,2,0
15:26:05,0:03:48,15:22:17,cellular,secondary,admin.,aug,married,failure,33,1737,0,0,106,0,0,14,2,2
16:45:19,0:16:55,16:28:24,other,primary,blue-collar,may,married,none,60,1262,1,1,-1,0,1,13,1,0
17:36:10,0:05:45,17:30:25,other,primary,unemployed,jun,married,none,48,1849,0,0,-1,0,1,2,3,0
12:12:00,0:05:24,12:06:36,cellular,primary,management,apr,married,none,24,448,1,0,-1,0,0,14,1,0
14:37:44,0:01:41,14:36:03,other,secondary,unemployed,jun,divorced,none,53,0,0,0,-1,0,0,20,2,0
14:24:23,0:03:44,14:20:39,other,secondary,technician,may,married,none,32,221,0,0,-1,0,1,23,4,0
16:25:23,0:01:18,16:24:05,cellular,tertiary,management,jan,single,none,26,157,0,0,-1,0,1,30,2,0
17:33:12,0:00:24,17:32:48,telephone,secondary,blue-collar,oct,divorced,none,34,882,0,1,-1,0,0,20,1,0
9:33:58,0:08:49,9:25:09,cellular,secondary,admin.,nov,single,none,31,3950,1,0,-1,0,1,21,1,0
14:16:53,0:05:06,14:11:47,cellular,secondary,blue-collar,feb,married,none,38,814,0,0,-1,0,1,4,1,0
15:12:16,0:13:49,14:58:27,cellular,primary,blue-collar,may,divorced,failure,51,-19,1,0,296,0,1,13,1,11
17:07:35,0:05:08,17:02:27,cellular,tertiary,management,may,married,none,36,0,1,0,-1,0,1,8,3,0
11:52:18,0:04:27,11:47:51,cellular,tertiary,admin.,jul,single,none,24,674,1,0,-1,0,1,6,1,0
16:58:23,0:10:52,16:47:31,cellular,secondary,admin.,jul,divorced,none,27,451,1,0,-1,0,1,16,1,0
13:32:08,0:02:27,13:29:41,cellular,secondary,retired,apr,married,failure,77,992,0,0,182,0,0,27,2,2
14:25:25,0:04:03,14:21:22,cellular,tertiary,management,aug,single,none,31,0,0,0,-1,0,0,21,2,0
12:34:28,0:18:55,12:15:33,cellular,secondary,services,may,divorced,failure,45,608,1,1,323,0,1,7,3,30
16:15:22,0:05:27,16:09:55,cellular,secondary,services,apr,married,failure,33,387,0,0,138,0,1,7,2,2
17:15:37,0:03:35,17:12:02,cellular,secondary,admin.,sep,married,none,40,4775,1,0,-1,0,0,15,1,0
11:41:18,0:03:34,11:37:44,cellular,tertiary,management,may,single,success,35,62,0,0,15,0,1,5,4,3
9:47:05,0:07:23,9:39:42,telephone,tertiary,management,jul,married,none,51,2704,0,0,-1,0,1,21,1,0
13:21:27,0:01:55,13:19:32,cellular,primary,blue-collar,may,married,none,41,-75,0,0,-1,0,1,18,1,0
18:12:27,0:16:25,17:56:02,cellular,tertiary,management,jul,single,none,35,-324,1,1,-1,0,0,21,11,0
17:53:19,0:07:36,17:45:43,cellular,primary,retired,nov,divorced,none,71,1729,1,0,-1,0,0,17,2,0
10:44:41,0:15:18,10:29:23,other,secondary,unemployed,may,divorced,none,55,387,1,0,-1,0,1,6,1,0
14:32:32,0:08:29,14:24:03,cellular,tertiary,management,jul,divorced,none,42,9,0,0,-1,0,1,21,1,0
10:06:52,0:11:07,9:55:45,cellular,tertiary,management,may,married,none,29,0,1,0,-1,0,1,6,2,0
17:11:16,0:08:02,17:03:14,cellular,tertiary,blue-collar,apr,single,failure,33,129,1,1,161,0,1,30,1,1
13:29:10,0:26:19,13:02:51,cellular,secondary,admin.,feb,single,failure,32,678,1,0,246,0,1,4,1,4
12:02:22,0:00:36,12:01:46,telephone,tertiary,management,nov,married,none,51,19313,0,0,-1,0,0,21,1,0
15:26:39,0:10:38,15:16:01,cellular,tertiary,management,jul,single,none,32,2551,1,0,-1,0,1,21,3,0
9:06:42,0:02:00,9:04:42,cellular,tertiary,retired,mar,married,none,64,2923,0,0,-1,0,0,12,1,0
15:49:08,0:02:10,15:46:58,cellular,primary,blue-collar,may,married,none,32,0,0,0,-1,0,1,11,3,0
10:46:20,0:07:18,10:39:02,other,primary,blue-collar,may,divorced,none,54,2062,0,0,-1,0,1,14,2,0
15:17:24,0:09:28,15:07:56,other,tertiary,management,may,married,none,38,119,1,0,-1,0,1,13,4,0
12:43:05,0:03:50,12:39:15,cellular,secondary,technician,sep,single,success,26,1231,1,0,93,0,1,4,1,7
13:32:45,0:03:51,13:28:54,cellular,tertiary,management,aug,divorced,none,58,108,0,0,-1,0,0,12,4,0
10:08:48,0:08:32,10:00:16,cellular,tertiary,management,aug,married,none,33,1047,1,0,-1,0,0,8,4,0
14:56:45,0:04:34,14:52:11,cellular,tertiary,housemaid,dec,single,success,29,19,1,0,230,0,0,3,1,1
16:17:13,0:04:50,16:12:23,cellular,secondary,admin.,may,married,none,31,33,0,0,-1,0,1,5,2,0
16:33:38,0:03:56,16:29:42,cellular,secondary,technician,may,single,none,35,204,1,0,-1,0,1,25,1,0
13:37:05,0:08:53,13:28:12,telephone,secondary,admin.,jul,married,none,45,0,1,1,-1,0,0,15,3,0
15:04:42,0:06:16,14:58:26,cellular,tertiary,management,may,single,other,34,808,0,0,97,0,0,26,2,1
10:35:04,0:04:53,10:30:11,cellular,tertiary,admin.,sep,single,success,33,272,1,0,92,0,1,1,2,3
17:06:19,0:08:20,16:57:59,cellular,secondary,services,nov,married,failure,32,983,1,0,133,0,1,20,2,1
16:46:17,0:01:32,16:44:45,cellular,tertiary,technician,aug,married,none,53,3177,0,0,-1,0,0,8,2,0
18:04:37,0:06:24,17:58:13,telephone,secondary,blue-collar,apr,married,none,45,-258,0,0,-1,0,1,20,5,0
12:23:47,0:02:41,12:21:06,other,primary,blue-collar,may,married,none,40,669,0,0,-1,0,1,26,3,0
15:05:47,0:01:33,15:04:14,cellular,primary,blue-collar,aug,married,none,45,121,0,0,-1,0,0,29,11,0
10:10:02,0:03:32,10:06:30,cellular,tertiary,management,jul,married,none,43,62,0,0,-1,0,1,23,3,0
16:02:14,0:06:17,15:55:57,cellular,primary,housemaid,jul,married,none,39,34,0,0,-1,0,1,14,3,0
13:28:44,0:22:24,13:06:20,cellular,tertiary,technician,aug,single,none,31,208,1,0,-1,0,0,12,7,0
17:21:56,0:03:15,17:18:41,cellular,primary,blue-collar,aug,married,none,53,0,0,0,-1,0,0,21,1,0
14:06:57,0:03:24,14:03:33,cellular,tertiary,management,aug,divorced,none,32,948,0,0,-1,0,0,12,2,0
14:52:40,0:05:36,14:47:04,telephone,tertiary,management,may,married,none,42,2,0,1,-1,0,1,4,9,0
17:57:18,0:01:56,17:55:22,cellular,secondary,technician,may,single,none,41,169,0,0,-1,0,1,12,2,0
17:17:15,0:12:18,17:04:57,cellular,secondary,blue-collar,apr,married,none,35,913,0,0,-1,0,1,17,2,0
14:28:03,0:01:33,14:26:30,other,secondary,student,may,single,none,27,0,0,0,-1,0,0,8,2,0
16:44:07,0:02:16,16:41:51,cellular,secondary,technician,feb,married,failure,34,1072,0,1,252,0,0,5,1,2
12:17:33,0:04:42,12:12:51,cellular,secondary,technician,apr,married,none,46,2149,1,0,-1,0,1,15,2,0
14:51:07,0:01:44,14:49:23,cellular,secondary,management,jul,married,none,46,1299,0,0,-1,0,1,14,2,0
10:28:44,0:01:47,10:26:57,cellular,secondary,unemployed,nov,divorced,none,45,728,0,1,-1,0,1,18,1,0
12:40:10,0:03:00,12:37:10,other,secondary,blue-collar,may,single,none,26,24,0,0,-1,0,1,7,1,0
14:09:43,0:04:28,14:05:15,cellular,secondary,management,jul,married,none,42,1519,1,0,-1,0,0,19,1,0
15:36:15,0:03:04,15:33:11,cellular,secondary,retired,apr,married,other,69,0,1,0,126,0,0,28,2,2
12:30:39,0:11:14,12:19:25,other,secondary,blue-collar,jun,single,none,30,799,1,0,-1,0,0,13,1,0
11:49:47,0:11:04,11:38:43,cellular,tertiary,management,nov,married,none,42,36,1,0,-1,0,0,21,3,0
16:14:49,0:04:53,16:09:56,cellular,tertiary,admin.,aug,married,none,30,631,0,0,-1,0,0,13,3,0
13:40:55,0:15:49,13:25:06,cellular,tertiary,admin.,apr,married,none,35,286,1,0,-1,0,0,30,2,0
14:31:27,0:04:08,14:27:19,cellular,tertiary,management,jul,married,none,38,536,1,0,-1,0,1,22,1,0
11:40:30,0:18:39,11:21:51,cellular,primary,blue-collar,may,single,none,27,265,1,0,-1,0,1,13,2,0
17:21:41,0:00:59,17:20:42,cellular,tertiary,management,may,single,other,39,202,0,0,301,0,1,12,1,1
16:55:01,0:02:04,16:52:57,cellular,secondary,student,jun,single,none,27,538,1,0,-1,0,0,4,2,0
14:19:04,0:01:32,14:17:32,other,secondary,technician,jun,single,none,49,-97,0,0,-1,0,1,6,2,0
13:03:01,0:09:10,12:53:51,cellular,tertiary,management,feb,single,none,32,0,1,0,-1,0,0,5,4,0
9:49:03,0:04:51,9:44:12,cellular,secondary,technician,mar,married,success,48,1981,0,0,238,0,1,16,3,2
18:00:38,0:00:40,17:59:58,other,secondary,admin.,may,married,none,31,0,0,0,-1,0,1,14,2,0
10:43:54,0:01:20,10:42:34,cellular,tertiary,management,jul,married,none,36,789,0,1,-1,0,1,10,1,0
16:15:38,0:01:28,16:14:10,cellular,secondary,entrepreneur,nov,married,none,34,455,0,0,-1,0,1,20,1,0
13:28:05,0:02:47,13:25:18,cellular,secondary,student,aug,single,none,18,108,1,0,-1,0,0,10,1,0
16:31:08,0:01:23,16:29:45,other,secondary,technician,may,single,none,47,77,0,0,-1,0,1,9,4,0
15:36:08,0:03:50,15:32:18,cellular,tertiary,entrepreneur,jul,married,none,39,350,0,0,-1,0,1,24,2,0
14:46:35,0:09:12,14:37:23,telephone,tertiary,entrepreneur,aug,married,none,44,624,1,0,-1,0,0,14,2,0
18:04:48,0:08:41,17:56:07,other,primary,blue-collar,may,married,none,42,505,0,0,-1,0,1,14,2,0
10:39:08,0:11:12,10:27:56,other,secondary,admin.,may,married,none,56,3784,0,0,-1,0,0,21,6,0
15:58:06,0:14:33,15:43:33,cellular,primary,blue-collar,may,married,failure,40,830,1,0,370,0,1,13,3,2
15:40:30,0:02:17,15:38:13,cellular,secondary,blue-collar,jul,married,none,30,791,0,1,-1,0,1,22,2,0
15:32:08,0:02:41,15:29:27,other,tertiary,entrepreneur,may,married,none,32,4465,0,0,-1,0,1,21,2,0
9:17:42,0:03:54,9:13:48,cellular,primary,blue-collar,aug,married,none,51,0,0,0,-1,0,0,21,4,0
9:57:19,0:02:02,9:55:17,cellular,tertiary,management,apr,single,success,33,718,1,0,98,0,1,6,1,2
14:34:19,0:06:26,14:27:53,cellular,secondary,blue-collar,apr,married,none,36,1790,0,0,-1,0,1,16,2,0
14:57:22,0:11:45,14:45:37,cellular,secondary,blue-collar,jun,married,failure,42,2913,1,0,195,0,0,3,1,1
9:46:57,0:03:24,9:43:33,other,tertiary,management,may,divorced,none,38,5455,0,0,-1,0,1,27,3,0
9:52:49,0:01:48,9:51:01,cellular,secondary,technician,nov,married,none,34,1,0,0,-1,0,1,19,1,0
13:29:48,0:09:19,13:20:29,cellular,primary,blue-collar,aug,married,none,49,408,1,0,-1,0,0,12,4,0
11:42:27,0:10:51,11:31:36,cellular,primary,blue-collar,aug,married,none,54,981,0,0,-1,0,0,22,12,0
15:44:15,0:01:28,15:42:47,cellular,primary,blue-collar,nov,married,none,41,6596,0,0,-1,0,1,20,1,0
16:17:01,0:01:33,16:15:28,cellular,tertiary,management,aug,married,none,59,3779,0,0,-1,0,0,18,3,0
17:15:45,0:11:55,17:03:50,cellular,tertiary,management,feb,married,none,53,20772,0,0,-1,0,0,4,1,0
16:29:37,0:01:24,16:28:13,cellular,tertiary,management,sep,married,none,45,786,1,0,-1,0,0,10,3,0
15:18:32,0:00:51,15:17:41,other,secondary,technician,may,single,none,41,28,0,0,-1,0,0,16,1,0
12:05:12,0:02:04,12:03:08,telephone,primary,blue-collar,feb,married,failure,56,284,0,1,204,0,0,3,4,4
14:01:49,0:06:10,13:55:39,cellular,secondary,services,may,single,failure,51,516,0,0,363,0,1,13,1,1
11:36:03,0:00:25,11:35:38,other,tertiary,management,jun,divorced,none,38,155,0,0,-1,0,1,20,26,0
17:32:05,0:21:30,17:10:35,cellular,primary,blue-collar,jul,married,none,33,-191,1,1,-1,0,1,9,4,0
12:42:49,0:10:21,12:32:28,cellular,secondary,student,apr,single,none,36,17,1,0,-1,0,0,22,1,0
15:51:54,0:01:39,15:50:15,cellular,tertiary,management,aug,married,none,44,795,0,0,-1,0,0,28,24,0
17:48:14,0:03:59,17:44:15,cellular,secondary,technician,aug,married,none,36,331,0,0,-1,0,0,22,4,0
12:30:26,0:06:45,12:23:41,cellular,secondary,technician,may,single,failure,31,846,1,0,205,0,0,26,3,2
9:04:31,0:02:38,9:01:53,cellular,secondary,technician,apr,single,none,36,12264,1,0,-1,0,0,12,2,0
13:31:15,0:17:07,13:14:08,cellular,primary,blue-collar,may,single,none,25,292,1,1,-1,0,1,18,2,0
13:23:24,0:21:49,13:01:35,cellular,secondary,self-employed,jul,married,none,51,95,1,0,-1,0,1,23,4,0
13:16:38,0:30:35,12:46:03,cellular,secondary,services,feb,married,success,38,775,1,0,182,0,0,12,3,2
16:50:03,0:02:38,16:47:25,cellular,secondary,technician,may,single,success,32,6402,0,0,167,0,1,6,1,1
9:48:27,0:00:14,9:48:13,other,secondary,admin.,may,single,none,49,275,0,0,-1,0,0,8,1,0
12:55:27,0:00:24,12:55:03,other,secondary,blue-collar,jun,married,none,37,489,0,0,-1,0,1,2,1,0
16:50:44,0:10:49,16:39:55,other,primary,blue-collar,may,married,none,36,599,1,0,-1,0,1,21,2,0
10:21:19,0:17:10,10:04:09,cellular,tertiary,management,may,married,success,43,1429,1,0,169,0,1,7,1,3
12:00:43,0:22:46,11:37:57,cellular,secondary,services,apr,married,none,49,2416,1,0,-1,0,1,16,1,0
15:41:43,0:00:48,15:40:55,cellular,primary,blue-collar,jul,divorced,none,32,380,0,0,-1,0,0,25,2,0
14:18:27,0:10:03,14:08:24,cellular,secondary,management,aug,divorced,none,60,0,1,0,-1,0,0,5,3,0
16:19:11,0:01:52,16:17:19,cellular,primary,blue-collar,feb,married,other,43,223,0,0,204,0,1,4,2,2
16:07:16,0:01:07,16:06:09,other,secondary,admin.,jul,single,none,53,654,1,0,-1,0,0,10,1,0
10:16:12,0:16:47,9:59:25,other,tertiary,management,may,married,none,57,2261,0,0,-1,0,1,8,1,0
11:47:17,0:14:51,11:32:26,other,secondary,technician,may,single,none,45,410,1,0,-1,0,1,30,4,0
12:25:17,0:01:40,12:23:37,cellular,secondary,admin.,may,married,none,33,177,0,0,-1,0,1,11,1,0
10:19:25,0:00:31,10:18:54,telephone,primary,blue-collar,jul,married,none,56,2163,0,0,-1,0,0,31,3,0
15:53:56,0:11:35,15:42:21,other,primary,blue-collar,may,married,none,59,320,1,0,-1,0,1,15,1,0
9:30:18,0:03:14,9:27:04,cellular,tertiary,management,aug,married,none,40,254,0,0,-1,0,0,19,2,0
11:17:11,0:18:43,10:58:28,other,tertiary,management,jun,single,none,37,240,1,0,-1,0,0,5,1,0
10:16:34,0:04:33,10:12:01,cellular,secondary,blue-collar,jul,single,none,34,-72,0,0,-1,0,1,7,5,0
13:23:54,0:02:51,13:21:03,cellular,secondary,blue-collar,feb,single,success,27,535,1,0,91,0,0,15,1,2
15:31:13,0:02:58,15:28:15,cellular,secondary,services,may,divorced,none,47,-1730,0,1,-1,0,1,18,3,0
12:40:26,0:01:44,12:38:42,cellular,tertiary,unemployed,aug,married,none,32,1364,0,0,-1,0,0,11,4,0
15:11:50,0:00:54,15:10:56,cellular,secondary,technician,may,married,none,32,344,0,1,-1,0,1,14,11,0
12:56:45,0:03:37,12:53:08,cellular,primary,admin.,may,married,failure,34,412,0,0,287,0,1,13,1,2
16:02:24,0:21:38,15:40:46,cellular,tertiary,management,sep,single,none,24,393,1,0,-1,0,0,27,1,0
13:11:09,0:18:00,12:53:09,cellular,primary,blue-collar,may,divorced,none,47,603,1,1,-1,0,1,8,1,0
12:05:34,0:18:47,11:46:47,cellular,secondary,retired,nov,married,success,72,5715,1,0,184,0,0,17,5,3
17:15:54,0:09:28,17:06:26,telephone,secondary,services,jan,single,none,34,2257,0,1,-1,0,0,30,2,0
14:48:12,0:05:47,14:42:25,cellular,secondary,entrepreneur,dec,divorced,success,38,1190,0,0,186,0,1,7,4,5
16:57:20,0:10:39,16:46:41,cellular,secondary,retired,jan,married,success,61,86,1,0,94,0,0,25,1,1
14:03:13,0:11:24,13:51:49,cellular,secondary,blue-collar,jul,married,none,44,0,1,0,-1,0,0,30,2,0
15:18:41,0:10:14,15:08:27,cellular,tertiary,self-employed,nov,single,none,31,2589,1,0,-1,0,0,21,1,0
11:18:31,0:05:25,11:13:06,cellular,tertiary,management,mar,single,none,30,201,1,0,-1,0,1,17,2,0
